"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"force_vent"	"etat_mer"	"couverture_nuageuse"	"temperature_sol"	"direction_vent"	"direction_houle"	"observateurs"	"commentaires"
2022-07-28	2022	"juillet"	28	"Mezzanu"	17:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Saleccia"	09:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Saleccia"	12:00:00	"F3"	"peu agitee"	"0-10"	32	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Saleccia"	15:00:00	"F2"	"belle"	"0-10"	30	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-07-28	2022	"juillet"	28	"Saleccia"	17:00:00	"F1"	"belle"	"0-10"	28	"NO"	"SE"	"A. Crispi, A. Priouzeau, J-P Casanova"	NA
2022-08-10	2022	"aout"	10	"Fiume Santu"	09:00:00	"F2"	"belle"	"0-10"	28	"SE"	NA	"Laurent Ricquiers, Axel Priouzeau"	NA
2022-08-10	2022	"aout"	10	"Fiume Santu"	12:00:00	"F3"	"belle"	"0-10"	32	"E"	NA	"Laurent Ricquiers, Axel Priouzeau"	NA
2022-08-10	2022	"aout"	10	"Fiume Santu"	15:00:00	"F4"	"peu agitee"	"0-10"	33	"NE"	NA	"Laurent Ricquiers, Axel Priouzeau"	NA
2022-08-10	2022	"aout"	10	"Fiume Santu"	17:00:00	NA	NA	NA	NA	NA	NA	NA	"Pas de comptage probleme echouage"
2022-08-10	2022	"aout"	10	"Lotu"	09:00:00	"F2"	"belle"	"0-10"	28	"SE"	NA	"Laurent Ricquiers, Axel Priouzeau"	NA
2022-08-10	2022	"aout"	10	"Lotu"	12:00:00	"F2"	"belle"	"0-10"	32	"ESE"	NA	"Laurent Ricquiers, Axel Priouzeau"	NA
2022-08-10	2022	"aout"	10	"Lotu"	15:00:00	"F2"	"belle"	"0-10"	33	"E"	NA	"Laurent Ricquiers, Axel Priouzeau"	NA
2022-08-10	2022	"aout"	10	"Lotu"	17:00:00	NA	NA	NA	NA	NA	NA	NA	"Pas de comptage probleme echouage"
