"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"force_vent"	"etat_mer"	"couverture_nuageuse"	"temperature_sol"	"direction_vent"	"direction_houle"	"observateurs"	"commentaires"
2020-08-13	2020	"aout"	13	"Lotu"	15:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Lotu 9h"
2020-08-13	2020	"aout"	13	"Lotu"	17:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Lotu 9h"
2020-08-13	2020	"aout"	13	"Mezzanu"	09:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	NA
2020-08-13	2020	"aout"	13	"Mezzanu"	12:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Petit Lotu 9h"
2020-08-13	2020	"aout"	13	"Mezzanu"	15:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Petit Lotu 9h"
2020-08-13	2020	"aout"	13	"Mezzanu"	17:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Petit Lotu 9h"
2020-08-13	2020	"aout"	13	"Saleccia"	09:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	NA
2020-08-13	2020	"aout"	13	"Saleccia"	12:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Saleccia 9h"
2020-08-13	2020	"aout"	13	"Saleccia"	15:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Saleccia 9h"
2020-08-13	2020	"aout"	13	"Saleccia"	17:00:00	"F0"	"belle"	"0-10"	NA	NA	NA	"Laure-Helene, Fred (CDC)"	"Base sur Saleccia 9h"
2020-08-13	2020	"aout"	13	"A Cala Francesa"	11:00:20	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"A Cala Genovese"	11:00:15	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"A Giraglia"	11:00:30	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"A Punta d'a Coscia"	11:00:04	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"A Punta d'Agnellu"	11:00:26	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"A Punta di Capannula"	11:00:22	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"A Torra d'Agnellu"	11:00:26	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"Barcaghju"	11:00:28	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"Capannula"	11:00:24	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"E Finocchjarole"	11:00:08	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"Padulu"	11:00:02	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"Santa Maria"	11:00:10	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"Tamarone"	11:00:06	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-08-13	2020	"aout"	13	"U Portu di Macinaghju"	11:00:00	"F2"	"peu agitee"	"0-10"	NA	"SE"	NA	"Aurelie Essartier"	NA
2020-09-09	2020	"septembre"	9	"Fiume Santu"	09:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	NA
2020-09-09	2020	"septembre"	9	"Fiume Santu"	12:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Fiume Santu 9h"
2020-09-09	2020	"septembre"	9	"Fiume Santu"	15:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Fiume Santu 9h"
2020-09-09	2020	"septembre"	9	"Fiume Santu"	17:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Fiume Santu 9h"
2020-09-09	2020	"septembre"	9	"Lotu"	09:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	NA
2020-09-09	2020	"septembre"	9	"Lotu"	12:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Lotu 9h"
2020-09-09	2020	"septembre"	9	"Lotu"	15:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Lotu 9h"
2020-09-09	2020	"septembre"	9	"Lotu"	17:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Lotu 9h"
2020-09-09	2020	"septembre"	9	"Mezzanu"	09:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	NA
2020-09-09	2020	"septembre"	9	"Mezzanu"	12:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Petit Lotu 9h"
2020-09-09	2020	"septembre"	9	"Mezzanu"	15:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Petit Lotu 9h"
2020-09-09	2020	"septembre"	9	"Mezzanu"	17:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Jean-Phi, Frank"	"Base sur Petit Lotu 9h"
2020-09-09	2020	"septembre"	9	"Saleccia"	09:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Sophie, Sebastien"	NA
2020-09-09	2020	"septembre"	9	"Saleccia"	12:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Sophie, Sebastien"	"Base sur Saleccia 9h"
2020-09-09	2020	"septembre"	9	"Saleccia"	15:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Sophie, Sebastien"	"Base sur Saleccia 9h"
2020-09-09	2020	"septembre"	9	"Saleccia"	17:00:00	"F1"	"peu agitee"	"0-10"	NA	NA	NA	"Sophie, Sebastien"	"Base sur Saleccia 9h"
2021-06-16	2021	"juin"	16	"Fiume Santu"	09:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Fiume Santu"	12:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Fiume Santu"	15:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Fiume Santu"	17:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Lotu"	09:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Aurelie, Perrine"	"Uniquement issu de Lotu jour"
2021-06-16	2021	"juin"	16	"Lotu"	12:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Aurelie, Perrine"	"Uniquement issu de Lotu jour"
2021-06-16	2021	"juin"	16	"Lotu"	15:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Aurelie, Perrine"	"Uniquement issu de Lotu jour"
2021-06-16	2021	"juin"	16	"Lotu"	17:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Aurelie, Perrine"	"Uniquement issu de Lotu jour"
2021-06-16	2021	"juin"	16	"Mezzanu"	09:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Mezzanu"	12:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Mezzanu"	15:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Mezzanu"	17:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Saleccia"	09:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Saleccia"	12:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Saleccia"	15:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-06-16	2021	"juin"	16	"Saleccia"	17:00:00	"F1"	"ridee"	"0-10"	26	"E"	NA	"Axel, Sophie"	"Uniquement issu de Saleccia jour"
2021-07-28	2021	"juillet"	28	"Fiume Santu"	09:00:00	"F1"	"calme"	"0-10"	26	"NO"	"SO"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Fiume Santu"	12:00:00	"F1"	"calme"	"0-10"	NA	"NO"	"SO"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Fiume Santu"	15:00:00	NA	NA	NA	NA	NA	NA	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Fiume Santu"	17:00:00	"F2"	"ridee"	"0-10"	NA	"NO"	"SO"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Lotu"	09:00:00	"F1"	"calme"	"0-10"	26	"NO"	"SO"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Lotu"	12:00:00	"F0"	"calme"	"10-25"	NA	"N"	"SO"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Lotu"	15:00:00	NA	NA	NA	NA	NA	NA	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Lotu"	17:00:00	"F0"	"calme"	"0-10"	NA	"NO"	"SO"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Mezzanu"	09:00:00	"F1"	"calme"	"0-10"	26	"NO"	"SE"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Mezzanu"	12:00:00	"F1"	"calme"	"0-10"	NA	"NO"	"SE"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Mezzanu"	15:00:00	NA	NA	NA	NA	NA	NA	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Mezzanu"	17:00:00	"F1"	"calme"	"0-10"	NA	"NO"	"SE"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	09:00:00	"F1"	"calme"	"0-10"	27	"NO"	"SE"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	12:00:00	"F0"	"calme"	"0-10"	NA	"NO"	"SE"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	15:00:00	"F0"	"calme"	"0-10"	NA	"SO"	"SE"	"Laurent, Alex"	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	17:00:00	NA	NA	NA	NA	NA	NA	"Laurent, Alex"	NA
2021-08-18	2021	"aout"	18	"Fiume Santu"	09:00:00	"F1"	"calme"	"0-10"	26	"N"	NA	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Fiume Santu"	12:00:00	"F1"	"calme"	"0-10"	28	"N"	NA	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Fiume Santu"	15:00:00	"F1"	"calme"	"0-10"	28	"NE"	NA	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Fiume Santu"	17:00:00	"F1"	"calme"	"0-10"	27	"NE"	NA	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Lotu"	09:00:00	"F1"	"calme"	"0-10"	25	"NE"	NA	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Lotu"	12:00:00	"F2"	"ridee"	"10-25"	28	"N"	"S"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Lotu"	15:00:00	"F2"	"ridee"	"10-25"	28	"NO"	"SE"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Lotu"	17:00:00	"F1"	"ridee"	"0-10"	27	"NO"	"SE"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Mezzanu"	09:00:00	"F1"	"calme"	"0-10"	25	"NE"	NA	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Mezzanu"	12:00:00	"F2"	"ridee"	"10-25"	28	"O"	"S"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Mezzanu"	15:00:00	"F2"	"ridee"	"10-25"	28	"NO"	"SE"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Mezzanu"	17:00:00	"F1"	"ridee"	"0-10"	27	"NO"	"SE"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Saleccia"	09:00:00	"F1"	"ridee"	"0-10"	25	"O"	"E"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Saleccia"	12:00:00	"F1"	"ridee"	"10-25"	28	"NO"	"S"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Saleccia"	15:00:00	"F2"	"belle"	"10-25"	28	"NO"	"SE"	"Frank, Alex"	NA
2021-08-18	2021	"aout"	18	"Saleccia"	17:00:00	"F2"	"ridee"	"10-25"	26	"NO"	"SE"	"Frank, Alex"	NA
2021-09-02	2021	"septembre"	2	"Fiume Santu"	09:00:00	"F2"	"ridee"	"25-50"	24	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Fiume Santu"	12:00:00	"F3"	"peu agitee"	"50-75"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Fiume Santu"	15:00:00	"F3"	"peu agitee"	"75-100"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Fiume Santu"	17:00:00	"F2"	"peu agitee"	"75-100"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Lotu"	09:00:00	"F2"	"ridee"	"25-50"	24	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Lotu"	12:00:00	"F3"	"peu agitee"	"50-75"	26	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Lotu"	15:00:00	"F3"	"peu agitee"	"50-75"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Lotu"	17:00:00	"F2"	"peu agitee"	"75-100"	25	"E"	"O"	"Alex, Jean-Phi"	NA
2021-09-02	2021	"septembre"	2	"Mezzanu"	09:00:00	"F2"	"ridee"	"25-50"	24	"E"	"O"	"Alex, Jean-Phi"	NA
