"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"personnes_plage"	"personnes_eau"	"pmt"	"vaches"	"observateurs"	"commentaires"	"commentaires_secteur"
2021-09-02	2021	"septembre"	2	"Saleccia"	16:00:00	121	14	5	0	"Sophie, Sebastien"	NA	NA
2022-06-21	2022	"juin"	21	"Lotu"	09:00:00	0	1	0	1	NA	NA	NA
2022-06-21	2022	"juin"	21	"Lotu"	12:00:00	52	31	1	0	NA	NA	NA
2022-06-21	2022	"juin"	21	"Lotu"	14:45:00	53	47	1	0	NA	NA	NA
2022-06-21	2022	"juin"	21	"Lotu"	16:45:00	52	20	0	0	NA	NA	NA
2022-06-21	2022	"juin"	21	"Saleccia"	09:00:00	9	2	0	0	NA	NA	NA
2022-06-21	2022	"juin"	21	"Saleccia"	12:00:00	271	33	10	0	NA	NA	NA
2022-06-21	2022	"juin"	21	"Saleccia"	14:00:00	300	78	8	0	NA	NA	NA
2022-06-21	2022	"juin"	21	"Saleccia"	16:00:00	110	55	3	0	NA	NA	NA
2022-07-28	2022	"juillet"	28	"Lotu"	09:00:00	8	6	0	0	NA	NA	NA
2022-07-28	2022	"juillet"	28	"Lotu"	12:00:00	133	63	21	0	NA	NA	NA
2022-07-28	2022	"juillet"	28	"Lotu"	14:45:00	179	231	36	3	NA	NA	NA
2022-07-28	2022	"juillet"	28	"Lotu"	16:45:00	134	104	15	0	NA	NA	NA
2022-07-28	2022	"juillet"	28	"Saleccia"	09:00:00	48	45	7	0	NA	"Bcp de vagues"	"Tres peu de locaux observes sur la plage, 90% de touristes  Le chenal : - seul le chenal autorise aux motorises est emprunte - bcp d'embouteillage dans le chenal en periode de pointe - les plaisanciers bloquent le passage parfois et se mettent en danger - les jets ancrent dans le chenal"
2022-07-28	2022	"juillet"	28	"Saleccia"	12:00:00	525	224	17	0	NA	"Jet attache a la bouee du chenal"	"Tres peu de locaux observes sur la plage, 90% de touristes  Le chenal : - seul le chenal autorise aux motorises est emprunte - bcp d'embouteillage dans le chenal en periode de pointe - les plaisanciers bloquent le passage parfois et se mettent en danger - les jets ancrent dans le chenal"
2022-07-28	2022	"juillet"	28	"Saleccia"	14:00:00	643	315	21	0	NA	NA	"Tres peu de locaux observes sur la plage, 90% de touristes  Le chenal : - seul le chenal autorise aux motorises est emprunte - bcp d'embouteillage dans le chenal en periode de pointe - les plaisanciers bloquent le passage parfois et se mettent en danger - les jets ancrent dans le chenal"
2022-07-28	2022	"juillet"	28	"Saleccia"	16:00:00	658	344	15	0	NA	NA	"Tres peu de locaux observes sur la plage, 90% de touristes  Le chenal : - seul le chenal autorise aux motorises est emprunte - bcp d'embouteillage dans le chenal en periode de pointe - les plaisanciers bloquent le passage parfois et se mettent en danger - les jets ancrent dans le chenal"
2022-08-10	2022	"aout"	10	"Lotu"	09:00:00	7	7	0	0	NA	NA	NA
2022-08-10	2022	"aout"	10	"Lotu"	12:00:00	445	225	36	0	NA	NA	NA
2022-08-10	2022	"aout"	10	"Lotu"	14:45:00	619	212	25	0	NA	NA	NA
2022-08-10	2022	"aout"	10	"Lotu"	16:45:00	546	162	26	0	NA	NA	NA
2022-08-10	2022	"aout"	10	"Saleccia"	09:00:00	77	46	10	0	NA	"Arrivee de plusieurs nucs avant le comptage"	NA
2022-08-10	2022	"aout"	10	"Saleccia"	12:00:00	677	233	41	0	NA	"Bateaux passant dans la zone de baignade. Bateaux dans le chenal non motorise."	NA
2022-08-10	2022	"aout"	10	"Saleccia"	14:00:00	941	306	52	0	NA	NA	NA
2022-08-10	2022	"aout"	10	"Saleccia"	16:00:00	637	190	30	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Lotu"	09:00:00	0	0	0	2	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Lotu"	12:00:00	186	58	4	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Lotu"	14:45:00	296	95	9	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Lotu"	16:45:00	165	32	3	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Saleccia"	09:00:00	0	0	0	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Saleccia"	12:00:00	278	115	13	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Saleccia"	14:00:00	301	84	14	0	NA	NA	NA
2022-09-12	2022	"septembre"	12	"Saleccia"	16:00:00	370	99	14	1	NA	NA	NA
2023-06-23	2023	"juin"	23	"Ghignu"	09:00:00	2	2	2	1	NA	NA	NA
2023-06-23	2023	"juin"	23	"Ghignu"	12:00:00	13	7	2	4	NA	NA	NA
2023-06-23	2023	"juin"	23	"Ghignu"	15:00:00	10	6	0	4	NA	NA	NA
2023-06-23	2023	"juin"	23	"Ghignu"	17:00:00	6	0	0	3	NA	NA	NA
2023-06-23	2023	"juin"	23	"Lotu"	09:00:00	0	0	0	12	"Django de Herder, Axel Priouzeau"	NA	NA
