"date","annee","mois","secteur","horaire","type","statut","taille","nombre","total_type_statut","commentaires"
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",12:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","ancre","L<8",15,23,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","ancre","8<L<18",8,23,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","ancre","18<L<24",0,23,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","ancre","24<L<45",0,23,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","ancre","L>45",0,23,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Moteur","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","ancre","L<8",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","ancre","8<L<18",2,2,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","ancre","18<L<24",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","ancre","24<L<45",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","ancre","L>45",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",15:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","ancre","L<8",15,19,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","ancre","8<L<18",4,19,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","ancre","18<L<24",0,19,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","ancre","24<L<45",0,19,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","ancre","L>45",0,19,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Moteur","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","ancre","L<8",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","ancre","8<L<18",2,2,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","ancre","18<L<24",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","ancre","24<L<45",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","ancre","L>45",0,2,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Fiume Santu",17:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","ancre","L<8",3,4,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","ancre","8<L<18",1,4,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","ancre","18<L<24",0,4,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","ancre","24<L<45",0,4,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","ancre","L>45",0,4,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Moteur","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","ancre","L<8",0,3,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","ancre","8<L<18",3,3,NA
