"date","annee","mois","secteur","horaire","type","statut","taille","nombre","total_type_statut","commentaires"
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","ancre","18<L<24",0,3,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","ancre","24<L<45",0,3,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","ancre","L>45",0,3,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",09:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","ancre","L<8",3,7,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","ancre","8<L<18",4,7,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","ancre","18<L<24",0,7,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","ancre","24<L<45",0,7,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","ancre","L>45",0,7,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","bouee","L<8",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","bouee","8<L<18",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","bouee","18<L<24",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","bouee","24<L<45",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","bouee","L>45",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","navigation","L<8",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","navigation","8<L<18",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","navigation","18<L<24",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","navigation","24<L<45",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Moteur","navigation","L>45",NA,NA,"2 JETS"
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","ancre","L<8",0,6,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","ancre","8<L<18",6,6,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","ancre","18<L<24",0,6,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","ancre","24<L<45",0,6,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","ancre","L>45",0,6,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",12:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","ancre","L<8",6,11,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","ancre","8<L<18",5,11,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","ancre","18<L<24",0,11,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","ancre","24<L<45",0,11,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","ancre","L>45",0,11,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Moteur","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","ancre","L<8",0,8,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","ancre","8<L<18",8,8,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","ancre","18<L<24",0,8,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","ancre","24<L<45",0,8,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","ancre","L>45",0,8,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",15:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","ancre","L<8",5,9,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","ancre","8<L<18",4,9,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","ancre","18<L<24",0,9,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","ancre","24<L<45",0,9,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","ancre","L>45",0,9,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Moteur","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","ancre","L<8",0,6,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","ancre","8<L<18",6,6,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","ancre","18<L<24",0,6,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","ancre","24<L<45",0,6,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","ancre","L>45",0,6,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Lotu",17:00:00,"Voilier","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","ancre","L<8",0,3,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","ancre","8<L<18",3,3,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","ancre","18<L<24",0,3,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","ancre","24<L<45",0,3,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","ancre","L>45",0,3,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Moteur","navigation","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","ancre","L<8",0,8,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","ancre","8<L<18",7,8,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","ancre","18<L<24",1,8,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","ancre","24<L<45",0,8,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","ancre","L>45",0,8,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","bouee","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","bouee","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","bouee","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","bouee","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","bouee","L>45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","navigation","L<8",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","navigation","8<L<18",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","navigation","18<L<24",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","navigation","24<L<45",NA,NA,NA
2020-07-29,2020,"juillet","Mezzanu",09:00:00,"Voilier","navigation","L>45",NA,NA,NA
