"date";"annee";"mois";"jour";"secteur";"horaire";"societes";"nombre_arrivees";"nombre_de_personnes";"ponton";"chenal";"observateurs";"commentaires";"commentaires_secteur"
2020-07-29;2020;"juillet";29;"Lotu";12:00:00;"Particuliers";5;28;2;3;NA;"2 bateau ont debarque au ponton 1 semi rigide ancre a cote du ponton";NA
2020-07-29;2020;"juillet";29;"Lotu";12:00:00;"Jet ski";2;2;0;2;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";12:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";12:00:00;"Paddle";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";12:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"U Saleccia";1;19;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Taxi boat (popeye/saleccia)";1;7;1;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Autres societes";1;2;0;1;NA;"Mafalcu ?";NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Particuliers";6;24;5;1;NA;"Pas sorti?";NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Jet ski";1;2;1;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Paddle";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";13:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"U Saleccia";1;73;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Particuliers";3;14;1;2;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Jet ski";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Paddle";3;3;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";14:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"U Saleccia";1;15;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Particuliers";1;0;0;1;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Jet ski";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Paddle";2;2;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";15:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"U Saleccia";1;5;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Autres societes";1;5;1;0;NA;"NUC ?";NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Particuliers";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Jet ski";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Paddle";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";16:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Taxi beach";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Taxi boat (popeye/saleccia)";2;16;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Taxi plage";1;12;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Mare e Stagnu";1;10;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Quadrimarant";1;10;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Speed boat";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Autres societes";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Particuliers";0;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Jet ski";2;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Kayak";4;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Paddle";7;0;NA;NA;NA;NA;NA
2020-07-29;2020;"juillet";29;"Saleccia";09:00:00;"Autres activites";0;0;NA;NA;NA;NA;NA
